"Year","Sex","ASR","CrudeRate","AgeGroup","Value"
2021,"Males",2.4,5.6,"0-4",0
2021,"Females",1.3,3.2,"0-4",0
2020,"Males",2.4,5.5,"0-4",0
2020,"Females",1,2.6,"0-4",0
2019,"Males",2.9,5.8,"0-4",0
2019,"Females",1.1,2.4,"0-4",0
2018,"Males",3.1,6.2,"0-4",0
2018,"Females",1.2,2.8,"0-4",0
2017,"Males",2.6,5.2,"0-4",0
2017,"Females",1.6,3.5,"0-4",0
2016,"Males",3,5.8,"0-4",0
2016,"Females",1.4,2.7,"0-4",0
2015,"Males",3.8,7.3,"0-4",0
2015,"Females",1.8,3.6,"0-4",0
2014,"Males",3.5,6.6,"0-4",0
2014,"Females",1.4,3,"0-4",0
2013,"Males",5,8.8,"0-4",0
2013,"Females",2,4.1,"0-4",0
2012,"Males",4,7.6,"0-4",0
2012,"Females",1.8,3.6,"0-4",0
2011,"Males",4.7,8,"0-4",0
2011,"Females",2,3.8,"0-4",0
2010,"Males",4.5,7.7,"0-4",0
2010,"Females",1.7,3.4,"0-4",0
2009,"Males",4.9,8.3,"0-4",0
2009,"Females",1.8,3.6,"0-4",0
2008,"Males",4.3,7.2,"0-4",0
2008,"Females",1.8,3.5,"0-4",0
2007,"Males",4.5,7.4,"0-4",0
2007,"Females",2,3.6,"0-4",0
2006,"Males",4,6.8,"0-4",0
2006,"Females",2.2,4.1,"0-4",0
2005,"Males",3.9,6.3,"0-4",0
2005,"Females",1.9,3.3,"0-4",0
2004,"Males",4.6,7.2,"0-4",0
2004,"Females",2,3.6,"0-4",0
2003,"Males",4.2,6.5,"0-4",0
2003,"Females",1.9,3.2,"0-4",0
2002,"Males",3.6,5.6,"0-4",0
2002,"Females",1.9,3.4,"0-4",0
2001,"Males",3.7,5.5,"0-4",0
2001,"Females",2,3.4,"0-4",0
2000,"Males",3.7,5.6,"0-4",0
2000,"Females",2.2,3.7,"0-4",0
1999,"Males",3.6,5.1,"0-4",0
1999,"Females",2.3,3.5,"0-4",0
1998,"Males",4.3,6,"0-4",0
1998,"Females",2.1,3.6,"0-4",0
1997,"Males",4,5.5,"0-4",0
1997,"Females",2.1,3.5,"0-4",0
1996,"Males",4.3,5.9,"0-4",0
1996,"Females",1.5,2.9,"0-4",0
1995,"Males",4.5,5.8,"0-4",0
1995,"Females",2.7,4.1,"0-4",0
1994,"Males",4.1,5.3,"0-4",0
1994,"Females",1.9,2.9,"0-4",0
1993,"Males",4.2,5.4,"0-4",0
1993,"Females",1.9,2.9,"0-4",0
1992,"Males",3.9,4.9,"0-4",0
1992,"Females",2.5,3.6,"0-4",0
1991,"Males",3.8,4.8,"0-4",0
1991,"Females",2.3,3.2,"0-4",0
1990,"Males",4,4.8,"0-4",0
1990,"Females",2.3,3.3,"0-4",0
1989,"Males",3.9,4.7,"0-4",0
1989,"Females",2.5,3.2,"0-4",0
1988,"Males",4.3,5.1,"0-4",0
1988,"Females",2.4,3.4,"0-4",0
1987,"Males",4.3,5,"0-4",0
1987,"Females",2.2,3.3,"0-4",0
1986,"Males",3.4,4,"0-4",0
1986,"Females",2.3,3,"0-4",0.7
1985,"Males",3.2,3.7,"0-4",0
1985,"Females",2.8,3.6,"0-4",0
1984,"Males",3.9,4.3,"0-4",0
1984,"Females",2.1,3.1,"0-4",0
1983,"Males",4,4.6,"0-4",0
1983,"Females",2.9,3.9,"0-4",0
1982,"Males",3.7,4.1,"0-4",0
1982,"Females",2.4,3.1,"0-4",0
2021,"Males",2.4,5.6,"5-9",0
2021,"Females",1.3,3.2,"5-9",0
2020,"Males",2.4,5.5,"5-9",0
2020,"Females",1,2.6,"5-9",0
2019,"Males",2.9,5.8,"5-9",0
2019,"Females",1.1,2.4,"5-9",0
2018,"Males",3.1,6.2,"5-9",0
2018,"Females",1.2,2.8,"5-9",0
2017,"Males",2.6,5.2,"5-9",0
2017,"Females",1.6,3.5,"5-9",0
2016,"Males",3,5.8,"5-9",0
2016,"Females",1.4,2.7,"5-9",0
2015,"Males",3.8,7.3,"5-9",0
2015,"Females",1.8,3.6,"5-9",0
2014,"Males",3.5,6.6,"5-9",0
2014,"Females",1.4,3,"5-9",0
2013,"Males",5,8.8,"5-9",0
2013,"Females",2,4.1,"5-9",0
2012,"Males",4,7.6,"5-9",0
2012,"Females",1.8,3.6,"5-9",0
2011,"Males",4.7,8,"5-9",0
2011,"Females",2,3.8,"5-9",0
2010,"Males",4.5,7.7,"5-9",0
2010,"Females",1.7,3.4,"5-9",0
2009,"Males",4.9,8.3,"5-9",0
2009,"Females",1.8,3.6,"5-9",0
2008,"Males",4.3,7.2,"5-9",0
2008,"Females",1.8,3.5,"5-9",0
2007,"Males",4.5,7.4,"5-9",0
2007,"Females",2,3.6,"5-9",0
2006,"Males",4,6.8,"5-9",0.6
2006,"Females",2.2,4.1,"5-9",0
2005,"Males",3.9,6.3,"5-9",0
2005,"Females",1.9,3.3,"5-9",0
2004,"Males",4.6,7.2,"5-9",0
2004,"Females",2,3.6,"5-9",0
2003,"Males",4.2,6.5,"5-9",0
2003,"Females",1.9,3.2,"5-9",0
2002,"Males",3.6,5.6,"5-9",0
2002,"Females",1.9,3.4,"5-9",0
2001,"Males",3.7,5.5,"5-9",0
2001,"Females",2,3.4,"5-9",0
2000,"Males",3.7,5.6,"5-9",0
2000,"Females",2.2,3.7,"5-9",0
1999,"Males",3.6,5.1,"5-9",0
1999,"Females",2.3,3.5,"5-9",0
1998,"Males",4.3,6,"5-9",0
1998,"Females",2.1,3.6,"5-9",0
1997,"Males",4,5.5,"5-9",0
1997,"Females",2.1,3.5,"5-9",0
1996,"Males",4.3,5.9,"5-9",0
1996,"Females",1.5,2.9,"5-9",0
1995,"Males",4.5,5.8,"5-9",0
1995,"Females",2.7,4.1,"5-9",0
