"Year","Sex","AgeGroup","Cases"
2021,"Males","0-4",0
2021,"Males","5-9",0
2021,"Males","10-14",0
2021,"Males","15-19",2
2021,"Males","20-24",2
2021,"Males","25-29",6
2021,"Males","30-34",24
2021,"Males","35-39",28
2021,"Males","40-44",43
2021,"Males","45-49",74
2021,"Males","50-54",109
2021,"Males","55-59",148
2021,"Males","60-64",176
2021,"Males","65-69",238
2021,"Males","70-74",254
2021,"Males","75-79",220
2021,"Males","80-84",159
2021,"Males","85+",167
2021,"Females","0-4",0
2021,"Females","5-9",0
2021,"Females","10-14",2
2021,"Females","15-19",2
2021,"Females","20-24",7
2021,"Females","25-29",17
2021,"Females","30-34",19
2021,"Females","35-39",40
2021,"Females","40-44",49
2021,"Females","45-49",57
2021,"Females","50-54",110
2021,"Females","55-59",120
2021,"Females","60-64",127
2021,"Females","65-69",134
2021,"Females","70-74",151
2021,"Females","75-79",133
2021,"Females","80-84",99
2021,"Females","85+",112
2020,"Males","0-4",0
2020,"Males","5-9",0
2020,"Males","10-14",0
2020,"Males","15-19",1
2020,"Males","20-24",7
2020,"Males","25-29",9
2020,"Males","30-34",13
2020,"Males","35-39",40
2020,"Males","40-44",36
2020,"Males","45-49",70
2020,"Males","50-54",113
2020,"Males","55-59",136
2020,"Males","60-64",165
2020,"Males","65-69",203
2020,"Males","70-74",202
2020,"Males","75-79",207
2020,"Males","80-84",149
2020,"Males","85+",149
2020,"Females","0-4",0
2020,"Females","5-9",0
2020,"Females","10-14",0
2020,"Females","15-19",3
2020,"Females","20-24",6
2020,"Females","25-29",25
2020,"Females","30-34",27
2020,"Females","35-39",37
2020,"Females","40-44",60
2020,"Females","45-49",77
2020,"Females","50-54",104
2020,"Females","55-59",108
2020,"Females","60-64",112
2020,"Females","65-69",119
2020,"Females","70-74",131
2020,"Females","75-79",94
2020,"Females","80-84",85
2020,"Females","85+",108
2019,"Males","0-4",0
2019,"Males","5-9",0
2019,"Males","10-14",0
2019,"Males","15-19",0
2019,"Males","20-24",2
2019,"Males","25-29",13
2019,"Males","30-34",24
2019,"Males","35-39",30
2019,"Males","40-44",50
2019,"Males","45-49",93
2019,"Males","50-54",107
2019,"Males","55-59",142
2019,"Males","60-64",202
2019,"Males","65-69",203
2019,"Males","70-74",244
2019,"Males","75-79",197
2019,"Males","80-84",171
2019,"Males","85+",163
2019,"Females","0-4",0
2019,"Females","5-9",0
2019,"Females","10-14",0
2019,"Females","15-19",1
2019,"Females","20-24",5
2019,"Females","25-29",20
2019,"Females","30-34",34
2019,"Females","35-39",44
2019,"Females","40-44",67
2019,"Females","45-49",92
2019,"Females","50-54",87
2019,"Females","55-59",107
2019,"Females","60-64",121
2019,"Females","65-69",142
2019,"Females","70-74",172
2019,"Females","75-79",125
2019,"Females","80-84",82
2019,"Females","85+",111
2018,"Males","0-4",0
2018,"Males","5-9",0
2018,"Males","10-14",0
2018,"Males","15-19",3
2018,"Males","20-24",7
2018,"Males","25-29",17
2018,"Males","30-34",32
2018,"Males","35-39",38
2018,"Males","40-44",57
2018,"Males","45-49",115
2018,"Males","50-54",113
2018,"Males","55-59",173
2018,"Males","60-64",188
2018,"Males","65-69",224
2018,"Males","70-74",256
2018,"Males","75-79",213
2018,"Males","80-84",173
2018,"Males","85+",175
2018,"Females","0-4",0
2018,"Females","5-9",0
2018,"Females","10-14",1
2018,"Females","15-19",0
2018,"Females","20-24",9
2018,"Females","25-29",25
2018,"Females","30-34",48
2018,"Females","35-39",56
2018,"Females","40-44",60
2018,"Females","45-49",92
2018,"Females","50-54",105
2018,"Females","55-59",124
2018,"Females","60-64",168
2018,"Females","65-69",149
2018,"Females","70-74",150
2018,"Females","75-79",135
2018,"Females","80-84",86
2018,"Females","85+",119
2017,"Males","0-4",0
2017,"Males","5-9",0
2017,"Males","10-14",0
2017,"Males","15-19",4
2017,"Males","20-24",7
2017,"Males","25-29",14
2017,"Males","30-34",24
2017,"Males","35-39",34
2017,"Males","40-44",57
2017,"Males","45-49",89
2017,"Males","50-54",137
2017,"Males","55-59",169
2017,"Males","60-64",169
2017,"Males","65-69",224
2017,"Males","70-74",253
2017,"Males","75-79",179
2017,"Males","80-84",163
2017,"Males","85+",159
2017,"Females","0-4",0
2017,"Females","5-9",0
2017,"Females","10-14",1
2017,"Females","15-19",6
2017,"Females","20-24",16
2017,"Females","25-29",16
2017,"Females","30-34",35
2017,"Females","35-39",49
2017,"Females","40-44",72
2017,"Females","45-49",98
2017,"Females","50-54",113
2017,"Females","55-59",125
2017,"Females","60-64",142
2017,"Females","65-69",162
2017,"Females","70-74",149
2017,"Females","75-79",106
2017,"Females","80-84",100
2017,"Females","85+",124
2016,"Males","0-4",0
2016,"Males","5-9",0
2016,"Males","10-14",1
2016,"Males","15-19",1
2016,"Males","20-24",8
2016,"Males","25-29",12
2016,"Males","30-34",27
2016,"Males","35-39",47
2016,"Males","40-44",61
2016,"Males","45-49",111
2016,"Males","50-54",94
2016,"Males","55-59",171
2016,"Males","60-64",184
2016,"Males","65-69",207
2016,"Males","70-74",191
2016,"Males","75-79",175
2016,"Males","80-84",142
2016,"Males","85+",145
2016,"Females","0-4",0
2016,"Females","5-9",0
2016,"Females","10-14",0
2016,"Females","15-19",5
2016,"Females","20-24",9
2016,"Females","25-29",27
2016,"Females","30-34",52
2016,"Females","35-39",60
2016,"Females","40-44",65
2016,"Females","45-49",106
2016,"Females","50-54",99
2016,"Females","55-59",119
2016,"Females","60-64",109
2016,"Females","65-69",172
2016,"Females","70-74",123
2016,"Females","75-79",107
2016,"Females","80-84",92
2016,"Females","85+",108
2015,"Males","0-4",0
2015,"Males","5-9",0
2015,"Males","10-14",0
2015,"Males","15-19",1
2015,"Males","20-24",10
2015,"Males","25-29",20
2015,"Males","30-34",22
2015,"Males","35-39",33
2015,"Males","40-44",60
2015,"Males","45-49",73
2015,"Males","50-54",112
2015,"Males","55-59",145
2015,"Males","60-64",184
2015,"Males","65-69",204
2015,"Males","70-74",230
2015,"Males","75-79",178
2015,"Males","80-84",137
2015,"Males","85+",130
2015,"Females","0-4",0
2015,"Females","5-9",0
2015,"Females","10-14",0
2015,"Females","15-19",2
2015,"Females","20-24",5
2015,"Females","25-29",26
2015,"Females","30-34",40
2015,"Females","35-39",54
2015,"Females","40-44",71
2015,"Females","45-49",94
2015,"Females","50-54",117
2015,"Females","55-59",90
2015,"Females","60-64",106
2015,"Females","65-69",159
2015,"Females","70-74",98
2015,"Females","75-79",111
2015,"Females","80-84",87
2015,"Females","85+",106
2014,"Males","0-4",0
2014,"Males","5-9",0
2014,"Males","10-14",0
2014,"Males","15-19",1
2014,"Males","20-24",5
2014,"Males","25-29",14
2014,"Males","30-34",28
2014,"Males","35-39",26
2014,"Males","40-44",68
2014,"Males","45-49",80
2014,"Males","50-54",114
2014,"Males","55-59",140
2014,"Males","60-64",122
2014,"Males","65-69",212
2014,"Males","70-74",190
2014,"Males","75-79",150
2014,"Males","80-84",125
2014,"Males","85+",132
2014,"Females","0-4",0
2014,"Females","5-9",0
2014,"Females","10-14",0
2014,"Females","15-19",3
2014,"Females","20-24",9
2014,"Females","25-29",19
2014,"Females","30-34",34
2014,"Females","35-39",39
2014,"Females","40-44",78
2014,"Females","45-49",84
2014,"Females","50-54",96
2014,"Females","55-59",97
2014,"Females","60-64",97
2014,"Females","65-69",122
2014,"Females","70-74",116
2014,"Females","75-79",91
2014,"Females","80-84",67
2014,"Females","85+",114
2013,"Males","0-4",0
2013,"Males","5-9",0
2013,"Males","10-14",0
2013,"Males","15-19",2
2013,"Males","20-24",8
2013,"Males","25-29",15
2013,"Males","30-34",22
2013,"Males","35-39",33
2013,"Males","40-44",47
2013,"Males","45-49",82
2013,"Males","50-54",110
2013,"Males","55-59",104
2013,"Males","60-64",166
2013,"Males","65-69",190
2013,"Males","70-74",160
2013,"Males","75-79",146
2013,"Males","80-84",123
2013,"Males","85+",126
2013,"Females","0-4",0
2013,"Females","5-9",0
2013,"Females","10-14",0
2013,"Females","15-19",5
2013,"Females","20-24",11
2013,"Females","25-29",18
2013,"Females","30-34",33
2013,"Females","35-39",43
2013,"Females","40-44",56
2013,"Females","45-49",72
2013,"Females","50-54",83
2013,"Females","55-59",101
2013,"Females","60-64",92
2013,"Females","65-69",112
2013,"Females","70-74",91
2013,"Females","75-79",89
2013,"Females","80-84",93
2013,"Females","85+",103
2012,"Males","0-4",0
2012,"Males","5-9",0
2012,"Males","10-14",0
2012,"Males","15-19",1
2012,"Males","20-24",12
2012,"Males","25-29",14
2012,"Males","30-34",31
2012,"Males","35-39",32
2012,"Males","40-44",70
2012,"Males","45-49",63
2012,"Males","50-54",115
2012,"Males","55-59",123
2012,"Males","60-64",150
2012,"Males","65-69",168
2012,"Males","70-74",156
